spot_id,sector_name,type_name,modality,title,description,natural_light,security_type,parking_spaces,building_status,amenities,rule_positive,rule_issue_types,human_actionable_issue,human_claim_labels_json,human_notes,reviewer,reviewed_at
16,Retail,Single,sale,Single de 104 m² en americana-chapultepec,Recién remodelado con acabados modernos. Fácil acceso a transporte público y avenidas principales. Espacio listo para ocupar con acabados de primera.,True,none,3,needs_renovation,"[""rooftop"",""reception"",""parking""]",1,"[""readiness""]",,,,,
18,Retail,Single,both,"Single Retail en juriquilla-juncos, Querétaro",Ubicación estratégica cerca de centros comerciales. Excelente ubicación con acceso a vías principales. Amplio espacio con buena iluminación natural.,False,none,12,good,"[""loading_dock""]",1,"[""natural_light""]",,,,,
37,Office,Subspace,rent,"Subspace 499 m², lomas-carranza",Zona de alta plusvalía y demanda comercial.,True,cctv,24,needs_renovation,[],0,[],,,,,
39,Industrial,Single,both,Single de 4192 m² en metepec-toluca,Fácil acceso a transporte público y avenidas principales.,True,none,84,good,"[""conference_room""]",0,[],,,,,
53,Office,Single,rent,"Single Office en zona-rio-aguacaliente, Tijuana",Excelente ubicación con acceso a vías principales. Espacio listo para ocupar con acabados de primera.,False,none,4,needs_renovation,[],1,"[""readiness""]",,,,,
74,Office,Subspace,both,"Subspace en Office - lomas-carranza, San Luis Potosí",Amplio espacio con buena iluminación natural. Excelente ubicación con acceso a vías principales.,True,basic,3,new,"[""reception"",""rooftop"",""gym"",""loading_dock""]",0,[],,,,,
109,Retail,Single,sale,"Retail Single - metepec-toluca, Toluca",Seguridad 24/7 y control de acceso. Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial.,False,basic,0,needs_renovation,[],1,"[""readiness""]",,,,,
111,Industrial,Single,rent,"Single Industrial en zona-rio-aguacaliente, Tijuana",Zona de alta plusvalía y demanda comercial.,True,none,11,fair,[],0,[],,,,,
129,Retail,Subspace,sale,"Retail compartido en metepec-toluca, Toluca",Espacio listo para ocupar con acabados de primera.,True,full,1,needs_renovation,[],1,"[""readiness""]",,,,,
146,Retail,Subspace,both,"Subspace en Retail - lomas-carranza, San Luis Potosí",Espacio versátil adaptable a diferentes giros.,False,cctv,7,fair,"[""kitchen""]",0,[],,,,,
154,Retail,Single,rent,"Retail Single - centro-leon, León",Seguridad 24/7 y control de acceso. Espacio listo para ocupar con acabados de primera. Recién remodelado con acabados modernos.,True,cctv,4,needs_renovation,"[""gym""]",1,"[""readiness""]",,,,,
158,Office,Single,both,Single de 619 m² en lomas-verdes-satelite,Amplio espacio con buena iluminación natural.,False,full,32,fair,[],1,"[""natural_light""]",,,,,
164,Retail,Single,rent,Single de 435 m² en centenario-colosio,Amplio espacio con buena iluminación natural. Espacio listo para ocupar con acabados de primera.,False,basic,15,new,[],1,"[""natural_light""]",,,,,
181,Retail,Single,rent,Single de 165 m² en polanco,Espacio listo para ocupar con acabados de primera. Ubicación estratégica cerca de centros comerciales. Ideal para oficinas corporativas o centro de distribución.,True,cctv,6,good,"[""lounge"",""loading_dock""]",0,[],,,,,
183,Industrial,Single,rent,Single de 5107 m² en paseo-montejo,Cuenta con todos los servicios y estacionamiento. Excelente ubicación con acceso a vías principales. Espacio versátil adaptable a diferentes giros.,True,cctv,104,needs_renovation,[],0,[],,,,,
218,Office,Single,both,"Office Single - centro-chihuahua, Chihuahua",Amplio espacio con buena iluminación natural. Recién remodelado con acabados modernos. Espacio listo para ocupar con acabados de primera.,True,cctv,72,needs_renovation,"[""rooftop""]",1,"[""readiness""]",,,,,
220,Land,Single,rent,"Land Single - centro-queretaro, Querétaro",Ubicación estratégica cerca de centros comerciales.,True,basic,3,good,"[""storage"",""conference_room"",""parking""]",0,[],,,,,
232,Land,Single,both,"Single Land en centro-leon, León",Ideal para oficinas corporativas o centro de distribución. Cuenta con todos los servicios y estacionamiento. Espacio listo para ocupar con acabados de primera.,True,basic,2,needs_renovation,[],1,"[""readiness""]",,,,,
253,Office,Single,both,Single de 303 m² en andares-puerta-hierro,Amplio espacio con buena iluminación natural.,False,basic,16,fair,"[""parking"",""storage"",""security_booth"",""loading_dock""]",1,"[""natural_light""]",,,,,
255,Retail,Single,both,Single de 45 m² en vasconcelos-calzada,Zona de alta plusvalía y demanda comercial. Recién remodelado con acabados modernos.,False,cctv,1,good,[],0,[],,,,,
277,Retail,Subspace,sale,"Subspace en Retail - centro-chihuahua, Chihuahua",Cuenta con todos los servicios y estacionamiento. Perfecto para negocio en crecimiento. Amplio espacio con buena iluminación natural.,False,full,6,good,[],1,"[""natural_light""]",,,,,
290,Office,Single,sale,Single de 203 m² en centro-leon,Excelente ubicación con acceso a vías principales. Espacio versátil adaptable a diferentes giros. Ideal para oficinas corporativas o centro de distribución.,True,full,12,fair,"[""kitchen"",""storage""]",0,[],,,,,
325,Industrial,Subspace,rent,"Subspace en Industrial - andares-puerta-hierro, Zapopan",Cuenta con todos los servicios y estacionamiento. Fácil acceso a transporte público y avenidas principales. Excelente ubicación con acceso a vías principales.,True,cctv,441,new,"[""loading_dock"",""conference_room"",""cafeteria""]",0,[],,,,,
333,Office,Subspace,rent,"Subspace 157 m², lomas-verdes-satelite",Cuenta con todos los servicios y estacionamiento. Seguridad 24/7 y control de acceso. Recién remodelado con acabados modernos.,False,basic,8,needs_renovation,"[""loading_dock"",""storage"",""meeting_rooms"",""gym""]",1,"[""readiness""]",,,,,
362,Office,Single,both,Single de 63 m² en centro-queretaro,Ideal para oficinas corporativas o centro de distribución. Espacio listo para ocupar con acabados de primera. Espacio versátil adaptable a diferentes giros.,False,none,5,new,"[""gym""]",0,[],,,,,
364,Industrial,Single,both,"Single Industrial en lomas-verdes-satelite, Naucalpan de Juárez",Espacio versátil adaptable a diferentes giros.,False,cctv,24,fair,[],0,[],,,,,
