fold,stage,variant,joint_lift_at_15,joint_recall_at_15,joint_positives_at_15,conversion_lift_at_15,conversion_recall_at_15,conversion_positives_at_15,confirmed_serviceable_rate_at_15
1,T1_first_inquiry,quality_only,1.1225543478260869,0.16875,27,1.1262939958592133,0.1693121693121693,32,0.8115942028985508
1,T1_first_inquiry,lead_opportunity_score,1.288858695652174,0.19375,31,1.0910973084886129,0.164021164021164,31,1.0
1,T2_engaged,quality_only,1.4133333333333333,0.212,53,1.4965986394557822,0.22448979591836735,66,0.7986111111111112
1,T2_engaged,lead_opportunity_score,1.7599999999999998,0.264,66,1.4965986394557822,0.22448979591836735,66,1.0
2,T1_first_inquiry,quality_only,0.8631713554987213,0.13043478260869565,24,0.7840814050738779,0.11848341232227488,25,0.9558823529411765
2,T1_first_inquiry,lead_opportunity_score,0.8991368286445013,0.1358695652173913,25,0.7840814050738779,0.11848341232227488,25,1.0
2,T2_engaged,quality_only,1.3069222851260935,0.19655172413793104,57,1.2243070362473347,0.18412698412698414,58,0.9626865671641791
2,T2_engaged,lead_opportunity_score,1.3757076685537828,0.20689655172413793,60,1.2665245202558635,0.19047619047619047,60,1.0
3,T1_first_inquiry,quality_only,0.9447596297402209,0.14213197969543148,28,1.0404092071611253,0.1565217391304348,36,0.8823529411764706
3,T1_first_inquiry,lead_opportunity_score,1.079725291131681,0.16243654822335024,32,0.9248081841432225,0.1391304347826087,32,1.0
3,T2_engaged,quality_only,1.60431654676259,0.24100719424460432,67,1.679540757749713,0.2523076923076923,82,0.8283582089552238
3,T2_engaged,lead_opportunity_score,1.8677118007086868,0.2805755395683453,78,1.5976119402985076,0.24,78,1.0
4,T1_first_inquiry,quality_only,1.1449908088235294,0.171875,33,1.0706407563025209,0.16071428571428573,36,0.9411764705882353
4,T1_first_inquiry,lead_opportunity_score,1.2837775735294117,0.19270833333333334,37,1.1003807773109242,0.16517857142857142,37,1.0
4,T2_engaged,quality_only,1.2030662020905922,0.18118466898954705,52,1.251306990881459,0.1884498480243161,62,0.88
4,T2_engaged,lead_opportunity_score,1.4112891986062717,0.21254355400696864,61,1.2311246200607902,0.18541033434650456,61,1.0
