fold,row_id,lead_id,inquiry_id,spot_id,stage,score_time,target_30d,pooled_catboost_pit_full,selected_p85,error_type,search_sector,search_modality,user_type,availability_state
3,14038,2754,12531.0,2329.0,T2_engaged,2026-03-18 11:14:21,0,0.647695727272045,1,FP,Office,rent,broker,available_now
3,13156,2296,10388.0,720.0,T2_engaged,2026-02-20 07:42:23,0,0.6193806355609649,1,FP,Land,rent,broker,known_unavailable
4,13168,2301,10411.0,1974.0,T2_engaged,2026-04-06 12:09:32,0,0.6164688536613432,1,FP,Office,both,investor,known_unavailable
3,11625,1456,6652.0,1435.0,T2_engaged,2026-03-16 09:17:23,0,0.6159226922785423,1,FP,Retail,both,broker,known_unavailable
4,13169,2301,10410.0,51.0,T2_engaged,2026-04-08 20:40:53,0,0.6127620043562789,1,FP,Office,both,investor,available_now
3,12228,1814,8183.0,1214.0,T2_engaged,2026-03-04 17:36:34,0,0.6101987704157448,1,FP,Retail,sale,broker,available_now
4,14778,3179,14442.0,2309.0,T2_engaged,2026-05-08 12:21:23,0,0.6041914094426979,1,FP,Retail,both,broker,known_unavailable
3,11624,1456,6650.0,2834.0,T2_engaged,2026-03-12 09:52:27,0,0.6015771674716068,1,FP,Retail,both,broker,available_now
3,17091,4531,20533.0,1540.0,T2_engaged,2026-03-04 20:21:17,0,0.593699088062768,1,FP,Office,sale,investor,known_unavailable
3,17029,4491,20370.0,1154.0,T2_engaged,2026-03-23 16:18:59,0,0.5904909591265073,1,FP,Office,sale,tenant_direct,known_unavailable
3,10016,531,2374.0,2725.0,T2_engaged,2026-03-15 16:06:57,0,0.5903842517129649,1,FP,Land,sale,tenant_direct,available_now
1,15676,3739,16965.0,1159.0,T2_engaged,2025-11-23 11:03:34,0,0.5883985165547385,1,FP,Office,rent,investor,available_now
3,12591,2009,9054.0,2116.0,T2_engaged,2026-03-29 15:28:06,0,0.5840836260362214,1,FP,Retail,rent,broker,known_unavailable
1,12149,1762,7986.0,394.0,T2_engaged,2025-11-24 10:44:01,0,0.5824815880708484,1,FP,Retail,both,broker,known_unavailable
4,13054,2231,10111.0,744.0,T2_engaged,2026-05-05 13:43:54,0,0.5802814482538668,1,FP,Industrial,sale,broker,available_now
1,12887,2150,9730.0,2443.0,T2_engaged,2025-10-23 11:39:57,0,0.5799634945923481,1,FP,Industrial,sale,broker,available_now
1,13363,2414,10950.0,1577.0,T2_engaged,2025-11-13 20:02:09,0,0.5796636726186727,1,FP,Industrial,both,tenant_direct,known_unavailable
1,13108,2258,10238.0,1428.0,T2_engaged,2025-10-22 07:41:55,0,0.5769508777496825,1,FP,Office,rent,investor,available_now
3,11549,1417,6476.0,2314.0,T2_engaged,2026-03-15 19:13:06,0,0.574671662084065,1,FP,Office,sale,tenant_direct,available_now
4,16121,3997,18138.0,1197.0,T2_engaged,2026-04-04 13:36:01,0,0.5740028146449506,1,FP,Office,rent,broker,available_now
3,10017,531,2373.0,2737.0,T2_engaged,2026-03-18 08:23:35,0,0.5698686947840909,1,FP,Land,sale,tenant_direct,available_now
4,16772,4342,19726.0,1648.0,T2_engaged,2026-04-14 13:15:38,0,0.5684800583228018,1,FP,Office,rent,broker,known_unavailable
3,17659,4880,22024.0,2958.0,T2_engaged,2026-03-20 15:43:06,0,0.5654323588032573,1,FP,Retail,rent,tenant_direct,available_now
3,14039,2754,12532.0,2807.0,T2_engaged,2026-03-20 11:11:03,0,0.5648383488763491,1,FP,Office,rent,broker,available_now
1,16621,4259,19318.0,2761.0,T2_engaged,2025-12-07 19:01:44,0,0.564835462546657,1,FP,Land,rent,developer,available_now
1,17762,4940,22304.0,1507.0,T2_engaged,2025-11-11 16:04:32,0,0.5627025265579194,1,FP,Office,rent,broker,known_unavailable
4,11338,1293,5881.0,2862.0,T2_engaged,2026-04-06 07:02:02,0,0.5624662922492727,1,FP,Office,rent,tenant_direct,known_unavailable
4,10096,580,2616.0,2875.0,T2_engaged,2026-04-27 07:57:10,0,0.5604999054148425,1,FP,Office,rent,broker,available_now
3,17781,4948,22351.0,1052.0,T2_engaged,2026-02-27 07:27:54,0,0.5575517786290936,1,FP,Industrial,rent,investor,available_now
1,14974,3297,14980.0,135.0,T2_engaged,2025-10-25 09:48:12,0,0.5571165054381348,1,FP,Office,rent,investor,available_now
4,11955,1655,7524.0,223.0,T2_engaged,2026-05-18 12:35:27,0,0.556661602412553,1,FP,Industrial,rent,investor,known_unavailable
4,10886,1029,4647.0,1010.0,T2_engaged,2026-05-05 18:51:11,0,0.5563642178500939,1,FP,Retail,sale,tenant_direct,known_unavailable
1,7686,3407,15503.0,1624.0,T1_first_inquiry,2025-11-28 14:29:30,0,0.5556918163473773,1,FP,Office,sale,tenant_direct,available_now
4,10097,580,2611.0,2403.0,T2_engaged,2026-04-27 13:03:43,0,0.5551546763913124,1,FP,Office,rent,broker,known_unavailable
4,17843,4983,22489.0,1386.0,T2_engaged,2026-04-28 07:41:43,0,0.5537487285567981,1,FP,Retail,sale,broker,available_now
4,11954,1655,7523.0,71.0,T2_engaged,2026-05-16 13:51:59,0,0.553616953141754,1,FP,Industrial,rent,investor,known_unavailable
4,14779,3179,14443.0,1826.0,T2_engaged,2026-05-09 10:45:27,0,0.5536020159029257,1,FP,Retail,both,broker,known_unavailable
4,12078,1716,7810.0,2527.0,T2_engaged,2026-03-30 19:53:41,0,0.5535977695654014,1,FP,Industrial,rent,investor,known_unavailable
4,15815,3809,17321.0,1083.0,T2_engaged,2026-05-02 14:36:25,0,0.5532969767044569,1,FP,Retail,rent,investor,known_unavailable
4,10320,707,3209.0,2338.0,T2_engaged,2026-04-29 09:58:44,0,0.5500477393350677,1,FP,Retail,sale,investor,known_unavailable
4,17161,4582,20739.0,2142.0,T2_engaged,2026-05-13 19:14:39,0,0.5491485382640151,1,FP,Office,rent,investor,available_now
4,16123,3997,18140.0,448.0,T2_engaged,2026-04-05 15:18:56,0,0.5490686882261024,1,FP,Office,rent,broker,known_unavailable
