dimension,segment,n,positive_rate,mean_score,roc_auc,average_precision,selected_p85_n,selected_precision,false_positives,false_negatives,fp_share_of_segment,fn_share_of_segment
stage,T1_first_inquiry,1814,0.47078280044101434,0.4402359891456777,0.557675887978142,0.5228353741449894,273,0.4725274725274725,144,725,0.07938257993384785,0.39966923925027564
stage,T2_engaged,3573,0.3534844668345928,0.3362828101060724,0.6259335808029394,0.46074734557597213,537,0.49906890130353815,269,995,0.07528687377553876,0.2784774699132382
sector,Industrial,1312,0.3757621951219512,0.3707344565581518,0.6486810462469692,0.5019958981765236,170,0.5411764705882353,78,401,0.05945121951219512,0.30564024390243905
sector,Land,830,0.42891566265060244,0.373942501149078,0.6441947565543071,0.5425808395387564,109,0.5412844036697247,50,297,0.060240963855421686,0.3578313253012048
sector,Office,1586,0.37957124842370743,0.370737745614902,0.6112703589660482,0.4685432293983685,274,0.45985401459854014,148,476,0.09331651954602774,0.30012610340479196
sector,Retail,1659,0.4014466546112116,0.3709226144159081,0.6041524908594396,0.48344945764064196,257,0.4669260700389105,137,546,0.08257986738999397,0.3291139240506329
modality,both,1040,0.425,0.37325117042045175,0.6546595741460979,0.5492358975976629,154,0.538961038961039,71,359,0.06826923076923076,0.3451923076923077
modality,rent,2719,0.37881574108127986,0.3681728592810995,0.6103680583099094,0.46171812676768076,417,0.4580335731414868,226,839,0.0831187936741449,0.3085693269584406
modality,sale,1628,0.3961916461916462,0.3752354687940276,0.6239056203521888,0.5039658184235051,239,0.5146443514644351,116,522,0.07125307125307126,0.32063882063882065
user_type,broker,1876,0.3843283582089552,0.3702899418294235,0.6364188746990411,0.4898616817184006,282,0.5141843971631206,137,576,0.0730277185501066,0.3070362473347548
user_type,developer,260,0.4076923076923077,0.37818469567541874,0.5885812300906641,0.4720415092968164,49,0.3877551020408163,30,87,0.11538461538461539,0.3346153846153846
user_type,investor,1210,0.35702479338842974,0.37262626453582426,0.6161334856707608,0.4338544639019194,180,0.4166666666666667,105,357,0.08677685950413223,0.2950413223140496
user_type,tenant_direct,2041,0.42038216560509556,0.37053250023679635,0.6217510300350537,0.534134120229354,299,0.5284280936454849,141,700,0.06908378245957864,0.34296913277804997
availability,available_now,3165,0.3943127962085308,0.37142867473708674,0.6145661958455386,0.48726916162972095,485,0.5010309278350515,242,1005,0.07646129541864138,0.3175355450236967
availability,known_unavailable,2214,0.39069557362240287,0.3709442394781469,0.6365648714312035,0.4970317285286732,323,0.47058823529411764,171,713,0.07723577235772358,0.32204155374887083
availability,no_asof_context,8,0.5,0.41053288396993726,0.8125,0.8541666666666666,2,1.0,0,2,0.0,0.25
