table,column,missing_share,rows
leads,min_budget_mxn_sale_total,0.5186,5000
leads,max_budget_mxn_sale_total,0.5006,5000
inquiries,requested_budget_mxn_sale_total,0.4989812189936215,22576
spots,price_sqm_mxn_sale,0.3973333333333333,3000
spots,price_total_mxn_sale,0.3973333333333333,3000
leads,min_budget_mxn_rent_monthly,0.3216,5000
inquiries,urgency_days,0.30643160878809356,22576
leads,max_budget_mxn_rent_monthly,0.298,5000
inquiries,requested_budget_mxn_rent_monthly,0.2954907866761162,22576
spots,maintenance_cost_mxn,0.25366666666666665,3000
spots,price_sqm_mxn_rent,0.25366666666666665,3000
spots,price_total_mxn_rent,0.25366666666666665,3000
spot_attributes,charging_ports,0.202,3000
spot_attributes,vertical_height_m,0.15233333333333332,3000
inquiries,broker_response_hours,0.15051381998582566,22576
spot_attributes,floor_material,0.07866666666666666,3000
leads,preferred_corridor,0.076,5000
leads,company_size,0.0514,5000
leads,industry,0.0302,5000
