segment,value,n,positive_rate
search_sector,Industrial,1220,0.24344262295081967
search_sector,Land,764,0.2107329842931937
search_sector,Office,1417,0.18207480592801695
search_sector,Retail,1497,0.1903807615230461
search_modality,both,990,0.21717171717171718
search_modality,rent,2443,0.19852640196479737
search_modality,sale,1465,0.2054607508532423
user_type,broker,1763,0.20079410096426545
user_type,developer,242,0.21487603305785125
user_type,investor,977,0.19242579324462641
user_type,tenant_direct,1916,0.21242171189979123
source,email,478,0.20292887029288703
source,event,252,0.19444444444444445
source,organic,1437,0.20180932498260265
source,paid,1221,0.2113022113022113
source,referral,994,0.1921529175050302
source,social,516,0.2248062015503876
channel,app,1253,0.2154828411811652
channel,email,736,0.1956521739130435
channel,phone,260,0.17692307692307693
channel,web,1424,0.2127808988764045
channel,whatsapp,1225,0.19428571428571428
