family,cluster,n,mature_n,visit_rate
need_profile,N1,4660,4560,0.20241228070175438
need_profile,N2,321,319,0.22570532915360503
need_profile,N3,19,19,0.3157894736842105
dynamic_need_profile,DN1,504,499,0.22444889779559118
dynamic_need_profile,DN2,4280,4185,0.2019115890083632
dynamic_need_profile,DN3,14,14,0.2857142857142857
dynamic_need_profile,DN4,128,127,0.1968503937007874
dynamic_need_profile,DN5,74,73,0.2054794520547945
physical_profile,PH1,1289,1258,0.2273449920508744
physical_profile,PH2,955,938,0.19402985074626866
physical_profile,PH3,768,757,0.20343461030383092
physical_profile,PH4,1988,1945,0.1948586118251928
location_profile,LOC1,564,554,0.1967509025270758
location_profile,LOC2,1714,1680,0.19940476190476192
location_profile,LOC3,1046,1022,0.2025440313111546
location_profile,LOC4,515,508,0.23031496062992127
location_profile,LOC5,604,593,0.20404721753794267
location_profile,LOC6,285,277,0.21299638989169675
location_profile,LOC7,272,264,0.20075757575757575
broker_service_profile,BSV1,678,659,0.19878603945371776
broker_service_profile,BSV2,2158,2120,0.21320754716981133
broker_service_profile,BSV3,2158,2113,0.19734973970657832
broker_service_profile,,6,6,0.16666666666666666
