population_fraction,positive_capture,precision,lift
0.05,0.08488384083911552,0.3582887700534759,1.6887936241363564
0.1,0.16976768167823103,0.3582887700534759,1.6887936241363564
0.15,0.22202699869127931,0.31360233667289644,1.478164181948556
0.2,0.26804190798464245,0.2836711737563417,1.3370836867688725
0.25,0.31352176019319894,0.26590747418254956,1.253354513295709
0.3,0.3595366694865621,0.25391402922883666,1.1968234270262796
0.35,0.4050165216951187,0.24544406907400348,1.1569002815030853
0.39999999999999997,0.4510314309884818,0.23901373642163343,1.1265909174033466
0.44999999999999996,0.4965112831970384,0.23406960493574666,1.1032867604547179
0.49999999999999994,0.5425261924904015,0.23006659798366325,1.0844185926998564
0.5499999999999999,0.5885411017837646,0.2267945010058456,1.0689955681019334
0.6,0.6340209539923212,0.22409893505278733,1.0562900216950941
0.65,0.6800358632856842,0.22179067239236602,1.0454100288246233
0.7,0.725515715494241,0.21983489542939022,1.0361914768035445
0.75,0.771530624787604,0.21811963925070113,1.0281066191679054
0.7999999999999999,0.8170104769961606,0.21663608703404402,1.0211138978381524
0.85,0.8630253862895237,0.21531148812583994,1.0148704027088489
0.9,0.9085052384980803,0.21414766336026178,1.0093847162793608
0.95,0.9545201477914435,0.21309398133351412,1.0044181874976383
1.0,1.0,0.21215663354763295,1.0
