snapshot_id,spot_id,snapshot_date,is_available,days_until_available,competing_inquiries_30d
1,323,2026-06-13,true,0,8
2,2291,2025-12-16,false,53,6
3,2629,2026-03-17,false,11,11
4,2004,2026-06-08,false,41,6
5,1771,2026-06-12,true,0,4
6,1859,2025-09-19,false,53,4
7,556,2026-01-07,true,0,5
8,247,2026-04-02,false,61,6
9,2404,2026-06-16,true,0,3
10,1852,2026-02-28,false,57,8
11,1963,2026-04-08,true,0,3
12,2864,2026-02-10,true,0,6
13,2261,2025-11-28,true,0,5
14,2808,2025-12-15,true,0,5
15,634,2026-04-23,true,0,6
16,142,2025-10-09,true,0,5
17,1123,2026-06-30,false,63,2
18,1129,2026-02-14,true,0,8
19,838,2026-02-21,true,0,5
20,2523,2026-05-18,true,0,5
21,1994,2025-08-04,true,0,5
22,1493,2025-08-14,false,33,5
23,2015,2026-03-31,true,0,6
24,994,2025-09-11,true,0,6
25,1782,2026-06-04,true,0,8
26,517,2026-03-09,true,0,6
27,2662,2025-12-06,true,0,1
28,2303,2025-10-12,false,23,3
29,1246,2026-05-20,true,0,8
30,691,2025-09-02,true,0,7
31,2689,2025-08-11,true,0,5
32,971,2026-05-15,true,0,2
33,867,2026-04-19,true,0,2
34,2149,2026-06-01,true,0,8
35,118,2026-01-17,true,0,6
36,878,2025-12-09,true,0,8
37,1267,2026-05-19,true,0,4
38,2372,2025-10-16,false,241,7
39,1433,2026-03-16,true,0,7
40,2505,2025-08-16,true,0,5
41,1930,2026-02-01,false,110,3
42,2913,2025-02-28,true,0,6
43,1644,2025-08-26,true,0,1
44,1272,2025-06-08,true,0,5
45,267,2026-05-07,false,39,5
46,895,2026-02-02,true,0,6
47,1966,2026-04-02,true,0,10
48,2409,2026-03-03,true,0,6
49,1137,2025-09-17,false,40,5
50,1728,2026-02-16,true,0,3
51,1567,2026-05-16,true,0,3
52,1528,2025-11-30,true,0,5
53,2041,2025-12-15,false,102,5
54,1230,2026-05-02,false,3,5
55,889,2026-06-21,false,8,4
56,1655,2026-05-08,true,0,6
57,1602,2025-12-16,false,11,3
58,322,2026-02-09,false,102,6
59,2803,2026-04-04,false,170,6
60,1258,2025-11-28,true,0,2
61,1844,2026-05-02,true,0,4
62,1549,2025-10-13,false,9,4
63,29,2026-04-06,false,28,3
64,2466,2026-04-21,false,1,8
65,1840,2026-03-07,true,0,6
66,2308,2025-12-24,true,0,6
67,2718,2026-04-12,true,0,4
68,2666,2026-01-02,true,0,5
69,466,2026-04-17,true,0,6
70,634,2025-12-29,false,160,6
71,141,2025-12-08,true,0,6
72,2777,2026-04-09,true,0,5
73,1721,2025-10-27,true,0,5
74,2604,2026-02-13,false,86,8
75,2283,2025-12-25,true,0,2
76,1839,2026-06-17,false,325,4
77,957,2026-05-10,true,0,6
78,2904,2026-02-07,true,0,6
79,1196,2026-03-25,true,0,7
80,1681,2026-04-06,true,0,8
81,161,2026-06-07,false,37,1
82,708,2026-06-24,false,89,3
83,2595,2025-12-27,false,32,15
84,31,2025-07-20,false,43,5
85,1145,2026-06-30,true,0,10
86,2224,2026-01-04,true,0,4
87,1997,2026-06-04,true,0,3
88,224,2026-01-31,true,0,5
89,1469,2025-03-14,true,0,5
90,1734,2026-01-05,false,20,6
91,2650,2025-12-08,false,20,5
92,922,2026-01-12,true,0,10
93,1107,2026-02-17,true,0,7
