inquiry_id,lead_id,spot_id,inquiry_at,channel,message_length,requested_area_sqm,requested_budget_mxn_rent_monthly,requested_budget_mxn_sale_total,urgency_days,asked_visit,broker_response,broker_response_hours
1,1,1483,2025-05-16T20:03:15.000000,email,136,796.3,,56159661.88,134,false,rejected,
2,1,2199,2025-05-21T18:34:55.000000,whatsapp,105,709.2,,45923143.49,,false,scheduled_visit,19.2
3,1,1274,2025-05-12T16:10:27.000000,whatsapp,109,342.5,,56159661.88,247,false,accepted,50.5
4,1,1761,2025-05-22T12:04:52.000000,app,119,603.1,,45945811.0,310,false,no_response,10.0
5,2,1855,2026-03-04T09:00:43.000000,whatsapp,347,327.3,39529.47,8412573.86,,false,accepted,3.1
6,3,2817,2026-02-18T14:30:33.000000,app,330,378.1,96582.66,,14,false,accepted,53.8
7,3,381,2026-02-24T15:02:11.000000,whatsapp,216,150.0,109010.12,,108,false,no_response,17.3
8,3,1728,2026-03-01T12:02:08.000000,web,255,316.0,109010.12,,66,false,scheduled_visit,8.4
9,4,992,2026-01-06T07:24:00.000000,whatsapp,71,305.0,175984.51,,84,false,scheduled_visit,28.7
10,4,9,2025-10-29T12:13:42.000000,email,253,2094.0,183531.85,,,true,accepted,
11,4,2223,2025-11-10T11:09:23.000000,web,90,220.0,213134.63,,,false,accepted,28.0
12,4,1845,2026-01-23T09:24:00.000000,email,332,807.0,211665.71,,53,false,accepted,20.8
13,4,2573,2026-06-24T08:15:00.000000,phone,265,151.5,213134.63,,243,true,rejected,6.4
14,5,60,2025-10-21T15:45:00.000000,web,197,1008.0,,51596758.01,6,false,accepted,2.0
15,6,1640,2025-10-06T18:45:00.000000,whatsapp,85,978.8,60156.45,,59,false,accepted,27.3
16,7,2056,2026-04-20T19:09:00.000000,app,210,799.4,,25141063.99,,false,no_response,3.6
17,7,1763,2025-06-21T07:49:00.000000,whatsapp,282,599.4,,25900566.21,3,true,rejected,1.7
18,7,245,2026-05-14T11:06:00.000000,email,200,372.0,,32746648.62,,false,accepted,4.3
19,7,2801,2025-08-22T16:09:00.000000,email,144,458.0,,31306153.69,,true,scheduled_visit,10.1
20,7,1983,2025-07-30T15:40:00.000000,phone,90,639.7,,24258714.03,209,false,scheduled_visit,2.5
21,7,2914,2025-07-30T09:27:00.000000,app,91,448.3,,28415700.34,153,true,accepted,
22,8,1508,2025-05-16T09:51:39.000000,web,171,1226.5,,8860584.5,126,false,scheduled_visit,19.4
23,8,2434,2025-07-03T14:43:00.000000,email,331,994.6,,8603613.65,90,false,scheduled_visit,1.2
24,8,2782,2026-01-02T19:23:00.000000,email,167,1121.0,,7423771.42,35,false,no_response,19.1
25,8,2182,2025-05-18T12:57:59.000000,web,69,902.2,,9376746.76,,false,no_response,2.8
26,8,2035,2026-02-04T11:22:00.000000,app,236,246.0,,8659419.75,227,false,rejected,11.0
27,8,958,2025-05-07T07:10:37.000000,web,384,1062.7,,7354039.26,,false,scheduled_visit,11.4
28,8,1171,2025-10-20T18:10:00.000000,web,213,781.7,,6966995.32,86,false,accepted,3.4
29,8,2618,2025-11-15T13:54:00.000000,email,109,1063.5,,7328289.28,36,true,rejected,
30,9,378,2026-02-03T07:57:46.000000,email,156,235.5,,25706225.9,26,false,accepted,12.1
31,9,1980,2026-02-09T14:23:54.000000,email,311,1495.2,,20054158.52,78,false,no_response,57.6
32,9,1360,2026-02-06T10:21:57.000000,app,517,406.5,,25677304.63,38,true,scheduled_visit,47.6
33,9,540,2026-02-06T18:15:24.000000,web,358,150.0,,25706225.9,44,false,accepted,7.9
34,10,2813,2026-04-28T13:24:00.000000,email,138,100.0,100720.37,,255,false,scheduled_visit,4.6
35,10,1334,2026-03-22T08:24:43.000000,whatsapp,182,405.8,133517.7,,,false,rejected,1.1
36,11,1695,2026-07-06T10:25:16.000000,web,215,585.4,52496.24,,24,false,no_response,41.3
37,11,201,2026-07-01T13:05:08.000000,whatsapp,126,1618.2,58492.25,,,false,scheduled_visit,21.5
38,11,961,2026-06-29T19:49:28.000000,email,168,987.9,74837.02,,,false,no_response,2.3
39,11,2134,2026-06-28T16:19:29.000000,whatsapp,277,519.0,63955.26,,12,false,accepted,22.3
40,11,1520,2026-06-28T19:30:38.000000,whatsapp,202,3782.9,52898.22,,90,true,scheduled_visit,12.2
41,11,1473,2026-06-30T11:49:18.000000,web,244,495.6,71731.7,,135,false,accepted,3.6
42,11,261,2026-07-08T15:37:25.000000,web,233,335.2,74837.02,,291,false,rejected,15.4
43,11,845,2026-07-05T08:36:53.000000,web,140,515.0,74837.02,,,true,scheduled_visit,5.3
44,12,2493,2025-08-22T10:31:11.000000,email,121,274.0,80917.12,20148422.95,27,true,accepted,50.0
45,12,1638,2025-08-26T10:36:18.000000,email,387,150.0,99806.53,18062437.97,240,true,accepted,0.6
46,12,2161,2025-08-19T20:35:53.000000,whatsapp,142,242.5,90687.09,20148422.95,77,true,accepted,
47,12,1223,2025-08-29T07:08:33.000000,whatsapp,501,240.1,76442.22,19592792.41,64,false,accepted,
48,13,1621,2025-07-19T13:48:56.000000,web,232,2226.5,391314.74,,299,true,scheduled_visit,2.0
49,13,1597,2025-07-28T08:04:00.000000,app,104,100.0,422600.37,,9,false,accepted,12.6
50,13,2974,2025-07-30T07:15:36.000000,app,328,6203.4,422600.37,,,false,accepted,1.2
51,13,2686,2025-10-26T20:08:00.000000,whatsapp,71,752.5,422600.37,,77,false,no_response,15.5
52,14,1226,2025-03-15T14:07:00.000000,web,275,6129.7,,16062196.93,82,false,rejected,17.2
53,14,2625,2025-05-18T18:31:00.000000,web,193,8269.2,,18792832.53,,false,accepted,
54,14,553,2026-04-25T18:01:00.000000,email,109,2325.0,,17858944.88,247,false,scheduled_visit,20.5
55,14,2312,2026-02-23T08:12:00.000000,whatsapp,183,2740.5,,19687878.77,250,false,no_response,4.4
56,14,1948,2025-05-09T18:13:00.000000,app,284,150.0,,19679966.51,3,false,accepted,19.3
57,14,2619,2025-03-02T19:56:40.000000,web,185,100.0,,19687878.77,69,false,accepted,13.1
58,15,857,2025-08-04T13:42:18.000000,web,306,156.5,90728.23,,44,false,scheduled_visit,1.1
59,15,1183,2025-07-29T11:12:20.000000,app,352,1148.8,104711.74,,321,false,rejected,0.7
60,15,2809,2025-08-05T10:04:16.000000,email,124,462.2,100524.04,,56,false,accepted,15.0
61,15,1993,2025-07-31T11:18:07.000000,whatsapp,268,2157.2,114037.1,,137,true,scheduled_visit,
62,15,1926,2025-08-09T12:41:32.000000,phone,168,1005.8,108150.07,,68,false,accepted,2.6
63,15,124,2025-08-09T10:52:32.000000,web,134,123.5,118131.52,,,true,rejected,0.8
64,15,2401,2025-07-29T19:26:07.000000,whatsapp,147,381.4,87450.67,,32,false,rejected,
65,15,1639,2025-08-03T15:34:38.000000,web,408,354.8,91139.35,,27,false,accepted,7.6
66,16,2674,2026-04-20T12:08:00.000000,web,340,1349.7,65247.09,,195,true,no_response,12.0
67,16,2177,2025-10-19T20:10:58.000000,web,187,2479.9,65812.38,,347,false,no_response,31.6
68,16,2065,2025-10-25T11:01:34.000000,app,272,1214.4,85323.21,,,false,accepted,15.0
69,16,913,2025-10-17T09:37:11.000000,whatsapp,271,1032.2,85323.21,,,false,accepted,0.9
70,16,2920,2025-10-28T13:03:58.000000,web,200,4207.2,65026.04,,65,false,accepted,13.0
71,16,541,2026-06-29T15:01:00.000000,web,90,2458.3,85323.21,,244,false,rejected,
72,16,2078,2025-10-28T12:43:22.000000,web,227,1600.8,85323.21,,58,true,scheduled_visit,
73,16,2578,2025-10-24T15:16:55.000000,web,118,12229.7,80946.71,,362,false,rejected,21.2
74,17,2391,2026-04-14T15:06:47.000000,app,181,815.8,42744.45,,127,false,no_response,7.7
75,18,465,2025-02-24T20:48:35.000000,whatsapp,193,465.8,20118.54,,255,false,no_response,16.3
76,18,752,2025-03-10T09:32:00.000000,web,335,375.6,22941.73,,13,false,no_response,
77,18,1012,2025-04-16T08:48:00.000000,whatsapp,245,448.1,20614.23,,158,true,accepted,
78,18,785,2025-05-10T10:25:00.000000,email,105,2546.1,24982.3,,,false,accepted,2.2
79,18,2955,2025-02-12T08:44:20.000000,app,143,524.7,18247.24,,,false,no_response,1.7
