lead_id,score_time,lead_quality_probability,lead_quality_score_0_100,inventory_actionability_gate,inventory_serviceability,inventory_confidence,opportunity_score_0_100,priority_band,exact_spot_serviceable,fallback_status,fallback_spot_ids,fallback_relaxation_tier,reason_codes,model_version,inventory_version,score_version,data_fingerprint
535,2025-01-01T10:21:59.000Z,0.20597261210815632,20.59726121081563,1,0.5712049335863378,0,20.59726121081563,LOW,false,VERIFY_AVAILABILITY,"[2834,1508,20]",TIER_0,"[""NO_EXACT_SERVICEABLE"",""INVENTORY_ACTIONABLE"",""BUDGET_UNVERIFIED_PRICE_NOT_PIT""]",LQ_RECOVERY_R4_STATIC_MATCH_V1,INV_SERVICEABILITY_V1_FROZEN_2026-08-30,OPPORTUNITY_ACTIONABILITY_GATE_V2_FROZEN_2026-08-30,f59b77ddcf991399bb35ec7be1e131db280f017d
4396,2025-01-01T16:12:26.000Z,0.21307940332937303,21.307940332937303,1,0.6392125984251968,0,21.307940332937303,LOW,false,VERIFY_AVAILABILITY,"[2055,2612,2851]",TIER_0,"[""NO_EXACT_SERVICEABLE"",""INVENTORY_ACTIONABLE"",""BUDGET_UNVERIFIED_PRICE_NOT_PIT""]",LQ_RECOVERY_R4_STATIC_MATCH_V1,INV_SERVICEABILITY_V1_FROZEN_2026-08-30,OPPORTUNITY_ACTIONABILITY_GATE_V2_FROZEN_2026-08-30,f59b77ddcf991399bb35ec7be1e131db280f017d
1071,2025-01-01T16:13:52.000Z,0.21192267588445549,21.19226758844555,1,0.6651553077710775,0,21.19226758844555,LOW,false,VERIFY_AVAILABILITY,"[1108,33,1062]",TIER_0,"[""NO_EXACT_SERVICEABLE"",""INVENTORY_ACTIONABLE"",""BUDGET_UNVERIFIED_PRICE_NOT_PIT""]",LQ_RECOVERY_R4_STATIC_MATCH_V1,INV_SERVICEABILITY_V1_FROZEN_2026-08-30,OPPORTUNITY_ACTIONABILITY_GATE_V2_FROZEN_2026-08-30,f59b77ddcf991399bb35ec7be1e131db280f017d
2895,2025-01-02T15:02:11.000Z,0.21192267588445549,21.19226758844555,1,0.57084545534691,0,21.19226758844555,LOW,false,VERIFY_AVAILABILITY,"[25,2284,1056]",TIER_0,"[""NO_EXACT_SERVICEABLE"",""INVENTORY_ACTIONABLE"",""BUDGET_UNVERIFIED_PRICE_NOT_PIT""]",LQ_RECOVERY_R4_STATIC_MATCH_V1,INV_SERVICEABILITY_V1_FROZEN_2026-08-30,OPPORTUNITY_ACTIONABILITY_GATE_V2_FROZEN_2026-08-30,f59b77ddcf991399bb35ec7be1e131db280f017d
3891,2025-01-02T20:56:11.000Z,0.19482856716291075,19.482856716291074,1,0.6643671398102522,0,19.482856716291074,LOW,false,VERIFY_AVAILABILITY,"[159,2140,1867]",TIER_0,"[""NO_EXACT_SERVICEABLE"",""INVENTORY_ACTIONABLE"",""BUDGET_UNVERIFIED_PRICE_NOT_PIT""]",LQ_RECOVERY_R4_STATIC_MATCH_V1,INV_SERVICEABILITY_V1_FROZEN_2026-08-30,OPPORTUNITY_ACTIONABILITY_GATE_V2_FROZEN_2026-08-30,f59b77ddcf991399bb35ec7be1e131db280f017d
4195,2025-01-03T09:59:19.000Z,0.21192267588445549,21.19226758844555,1,0.30747685185185186,0,21.19226758844555,LOW,false,VERIFY_AVAILABILITY,"[1313,2305,1382]",TIER_3_EXPERIMENTAL,"[""NO_EXACT_SERVICEABLE"",""INVENTORY_ACTIONABLE"",""BUDGET_UNVERIFIED_PRICE_NOT_PIT""]",LQ_RECOVERY_R4_STATIC_MATCH_V1,INV_SERVICEABILITY_V1_FROZEN_2026-08-30,OPPORTUNITY_ACTIONABILITY_GATE_V2_FROZEN_2026-08-30,f59b77ddcf991399bb35ec7be1e131db280f017d
467,2025-01-03T10:56:26.000Z,0.22298344072628934,22.298344072628932,1,0.6364823403496254,0,22.298344072628932,PRIORITY,false,VERIFY_AVAILABILITY,"[27,2051,1572]",TIER_0,"[""NO_EXACT_SERVICEABLE"",""INVENTORY_ACTIONABLE"",""BUDGET_UNVERIFIED_PRICE_NOT_PIT""]",LQ_RECOVERY_R4_STATIC_MATCH_V1,INV_SERVICEABILITY_V1_FROZEN_2026-08-30,OPPORTUNITY_ACTIONABILITY_GATE_V2_FROZEN_2026-08-30,f59b77ddcf991399bb35ec7be1e131db280f017d
1687,2025-01-04T14:43:41.000Z,0.21192267588445549,21.19226758844555,1,0.6103869653767822,0,21.19226758844555,LOW,false,VERIFY_AVAILABILITY,"[1178,2959,1062]",TIER_0,"[""NO_EXACT_SERVICEABLE"",""INVENTORY_ACTIONABLE"",""BUDGET_UNVERIFIED_PRICE_NOT_PIT""]",LQ_RECOVERY_R4_STATIC_MATCH_V1,INV_SERVICEABILITY_V1_FROZEN_2026-08-30,OPPORTUNITY_ACTIONABILITY_GATE_V2_FROZEN_2026-08-30,f59b77ddcf991399bb35ec7be1e131db280f017d
164,2025-01-05T17:49:32.000Z,0.22298344072628934,22.298344072628932,1,0.6816090540041826,0,22.298344072628932,PRIORITY,false,VERIFY_AVAILABILITY,"[1167,2030,105]",TIER_0,"[""NO_EXACT_SERVICEABLE"",""INVENTORY_ACTIONABLE"",""BUDGET_UNVERIFIED_PRICE_NOT_PIT""]",LQ_RECOVERY_R4_STATIC_MATCH_V1,INV_SERVICEABILITY_V1_FROZEN_2026-08-30,OPPORTUNITY_ACTIONABILITY_GATE_V2_FROZEN_2026-08-30,f59b77ddcf991399bb35ec7be1e131db280f017d
4384,2025-01-05T19:05:40.000Z,0.20292961935943107,20.292961935943108,1,0.5878106911814778,0,20.292961935943108,LOW,false,VERIFY_AVAILABILITY,"[1871,2763,501]",TIER_0,"[""NO_EXACT_SERVICEABLE"",""INVENTORY_ACTIONABLE"",""BUDGET_UNVERIFIED_PRICE_NOT_PIT""]",LQ_RECOVERY_R4_STATIC_MATCH_V1,INV_SERVICEABILITY_V1_FROZEN_2026-08-30,OPPORTUNITY_ACTIONABILITY_GATE_V2_FROZEN_2026-08-30,f59b77ddcf991399bb35ec7be1e131db280f017d
