population,system,capacity_pct,n_leads,positives_captured,recall_at_x,precision_at_x,lift_at_x,cumulative_gains,status
DEVELOPMENT,LEAD_QUALITY_ONLY,5,219,,,,,,UNDEFINED_CONSTANT_SCORE
DEVELOPMENT,LEAD_QUALITY_ONLY,10,437,,,,,,UNDEFINED_CONSTANT_SCORE
DEVELOPMENT,LEAD_QUALITY_ONLY,20,874,,,,,,UNDEFINED_CONSTANT_SCORE
DEVELOPMENT,INVENTORY_ONLY,5,219,39,0.043820224719101124,0.1780821917808219,0.874003386178236,0.043820224719101124,DEFINED
DEVELOPMENT,INVENTORY_ONLY,10,437,87,0.09775280898876404,0.19908466819221968,0.977080708610804,0.09775280898876404,DEFINED
DEVELOPMENT,INVENTORY_ONLY,20,874,179,0.20112359550561798,0.2048054919908467,1.0051577404674363,0.20112359550561798,DEFINED
DEVELOPMENT,OPPORTUNITY_MULTIPLICATIVE,5,219,39,0.043820224719101124,0.1780821917808219,0.874003386178236,0.043820224719101124,DEFINED
DEVELOPMENT,OPPORTUNITY_MULTIPLICATIVE,10,437,87,0.09775280898876404,0.19908466819221968,0.977080708610804,0.09775280898876404,DEFINED
DEVELOPMENT,OPPORTUNITY_MULTIPLICATIVE,20,874,179,0.20112359550561798,0.2048054919908467,1.0051577404674363,0.20112359550561798,DEFINED
DEVELOPMENT,LEAD_SCORE_INTERNAL_NON_DEPLOYABLE_REFERENCE,5,219,38,0.04269662921348315,0.1735159817351598,0.8515930429428967,0.04269662921348315,NON_DEPLOYABLE_REFERENCE
DEVELOPMENT,LEAD_SCORE_INTERNAL_NON_DEPLOYABLE_REFERENCE,10,437,82,0.09213483146067415,0.18764302059496568,0.9209266448975394,0.09213483146067415,NON_DEPLOYABLE_REFERENCE
DEVELOPMENT,LEAD_SCORE_INTERNAL_NON_DEPLOYABLE_REFERENCE,20,874,173,0.1943820224719101,0.19794050343249428,0.9714653022394776,0.1943820224719101,NON_DEPLOYABLE_REFERENCE
PROCEDURAL_HOLDOUT_DIAGNOSTIC,LEAD_QUALITY_ONLY,5,14,,,,,,UNDEFINED_CONSTANT_SCORE
PROCEDURAL_HOLDOUT_DIAGNOSTIC,LEAD_QUALITY_ONLY,10,28,,,,,,UNDEFINED_CONSTANT_SCORE
PROCEDURAL_HOLDOUT_DIAGNOSTIC,LEAD_QUALITY_ONLY,20,55,,,,,,UNDEFINED_CONSTANT_SCORE
PROCEDURAL_HOLDOUT_DIAGNOSTIC,INVENTORY_ONLY,5,14,1,0.018867924528301886,0.07142857142857142,0.36792452830188677,0.018867924528301886,DEFINED
PROCEDURAL_HOLDOUT_DIAGNOSTIC,INVENTORY_ONLY,10,28,3,0.05660377358490566,0.10714285714285714,0.5518867924528301,0.05660377358490566,DEFINED
PROCEDURAL_HOLDOUT_DIAGNOSTIC,INVENTORY_ONLY,20,55,7,0.1320754716981132,0.12727272727272726,0.65557461406518,0.1320754716981132,DEFINED
PROCEDURAL_HOLDOUT_DIAGNOSTIC,OPPORTUNITY_MULTIPLICATIVE,5,14,1,0.018867924528301886,0.07142857142857142,0.36792452830188677,0.018867924528301886,DEFINED
PROCEDURAL_HOLDOUT_DIAGNOSTIC,OPPORTUNITY_MULTIPLICATIVE,10,28,3,0.05660377358490566,0.10714285714285714,0.5518867924528301,0.05660377358490566,DEFINED
PROCEDURAL_HOLDOUT_DIAGNOSTIC,OPPORTUNITY_MULTIPLICATIVE,20,55,7,0.1320754716981132,0.12727272727272726,0.65557461406518,0.1320754716981132,DEFINED
PROCEDURAL_HOLDOUT_DIAGNOSTIC,LEAD_SCORE_INTERNAL_NON_DEPLOYABLE_REFERENCE,5,14,0,0,0,0,0,NON_DEPLOYABLE_REFERENCE
PROCEDURAL_HOLDOUT_DIAGNOSTIC,LEAD_SCORE_INTERNAL_NON_DEPLOYABLE_REFERENCE,10,28,3,0.05660377358490566,0.10714285714285714,0.5518867924528301,0.05660377358490566,NON_DEPLOYABLE_REFERENCE
PROCEDURAL_HOLDOUT_DIAGNOSTIC,LEAD_SCORE_INTERNAL_NON_DEPLOYABLE_REFERENCE,20,55,8,0.1509433962264151,0.14545454545454545,0.7492281303602057,0.1509433962264151,NON_DEPLOYABLE_REFERENCE
