topic;metric;value;population;period;source_path;notes
provenance;repository_commit;7d4e90df6d7e7340f3963128089bd303e8993e52;Repositorio completo;2026-08-31 commit;git rev-parse HEAD;Snapshot auditado
dataset;leads_rows;5000;Tabla leads;Completo;codexway/outputs/tables/data_audit.json;Grano lead
dataset;inquiries_rows;22576;Tabla inquiries;Completo;codexway/outputs/tables/data_audit.json;Grano inquiry
dataset;spots_rows;3000;Tabla spots;Completo;codexway/outputs/tables/data_audit.json;Grano listing
dataset;spot_attributes_rows;3000;Tabla spot_attributes;Completo;codexway/outputs/tables/data_audit.json;Uno por spot
dataset;availability_snapshot_rows;30000;Tabla availability_snapshot;Completo;codexway/outputs/tables/data_audit.json;Histórico de estado
dataset;market_context_rows;500;Tabla market_context;Completo;codexway/outputs/tables/data_audit.json;Sólo EDA en solución final
dataset;raw_rows_total;64076;Suma de seis tablas;Completo;codexway/outputs/tables/data_audit.json;Reconstruido. No son observaciones independientes
dataset;primary_key_duplicates;0;Todas las tablas;Completo;codexway/outputs/tables/data_audit.json;Audit de unicidad
dataset;foreign_key_orphans;0;Relaciones auditadas;Completo;codexway/outputs/tables/data_audit.json;Audit de integridad
target;t1_rows_all;5000;Todos los leads T1;Hasta as_of;codexway/outputs/tables/data_audit.json;Primera inquiry por lead
target;t1_mature;4898;Leads con horizonte cerrado;as_of 2026-07-01 UTC;codexway/outputs/tables/data_audit.json;Ventana 7d
target;t1_censored;102;Leads sin horizonte cerrado;as_of 2026-07-01 UTC;codexway/outputs/tables/data_audit.json;No son negativos
target;t1_positive;1001;T1 maduros;Ventana 7d;codexway/outputs/tables/data_audit.json;scheduled_visit_7d igual 1
target;t1_negative;3897;T1 maduros;Ventana 7d;codexway/outputs/tables/data_audit.json;scheduled_visit_7d igual 0
target;t1_prevalence;0.20436913025724784;T1 maduros N 4898;Ventana 7d;codexway/outputs/tables/data_audit.json;1001 dividido 4898
target;maturity_days;7;T1 target;Desde primera inquiry;codexway/config/base.yaml;Horizonte final
maturity;eligible_7d;4898;Todos los leads;as_of 2026-07-01 UTC;codexway/outputs/tables/target_maturity_sensitivity.csv;1001 positivos y 3897 negativos
maturity;prevalence_7d;0.20436913025724784;Elegibles N 4898;7d;codexway/outputs/tables/target_maturity_sensitivity.csv;Final
maturity;eligible_14d;4836;Todos los leads;as_of 2026-07-01 UTC;codexway/outputs/tables/target_maturity_sensitivity.csv;988 positivos y 3848 negativos
maturity;prevalence_14d;0.204301;Elegibles N 4836;14d;codexway/outputs/tables/target_maturity_sensitivity.csv;Redondeado a seis decimales desde artefacto
maturity;eligible_30d;4680;Todos los leads;as_of 2026-07-01 UTC;codexway/outputs/tables/target_maturity_sensitivity.csv;955 positivos y 3725 negativos
maturity;prevalence_30d;0.204060;Elegibles N 4680;30d;codexway/outputs/tables/target_maturity_sensitivity.csv;Redondeado a seis decimales desde artefacto
split;train_n;2191;T1 maduro asignado train;2025-01-01 a 2025-09-23 UTC;codexway/outputs/abt/split_manifest.json;443 positivos
split;train_positive;443;Train N 2191;2025-01-01 a 2025-09-23 UTC;codexway/outputs/abt/split_manifest.json;Prevalencia 0.20219078
split;train_prevalence;0.20219078;Train N 2191;2025-01-01 a 2025-09-23 UTC;codexway/outputs/abt/split_manifest.json;443 dividido 2191
split;validation_n;847;T1 maduro validation;2025-10-01 a 2025-12-23 UTC;codexway/outputs/abt/split_manifest.json;165 positivos
split;validation_positive;165;Validation N 847;2025-10-01 a 2025-12-23 UTC;codexway/outputs/abt/split_manifest.json;Prevalencia 0.19480519
split;validation_prevalence;0.19480519;Validation N 847;2025-10-01 a 2025-12-23 UTC;codexway/outputs/abt/split_manifest.json;165 dividido 847
split;holdout_n;1711;T1 maduro holdout temporal;2026-01-01 a 2026-06-23 UTC;codexway/outputs/abt/split_manifest.json;Procedimental no prístino
split;holdout_positive;363;Holdout N 1711;2026-01-01 a 2026-06-23 UTC;codexway/outputs/abt/split_manifest.json;1348 negativos
split;holdout_prevalence;0.21215663354763295;Holdout N 1711;2026-01-01 a 2026-06-23 UTC;codexway/outputs/abt/split_manifest.json;363 dividido 1711
split;purge_n;149;T1 maduro en buffers;2025-09-24 a 2025-12-31 UTC;codexway/outputs/abt/split_manifest.json;30 positivos
rolling;fold_count;4;Temporal CV T1;2025 development;codexway/outputs/metrics/t1_model_metrics.json;Stable model
rolling;stable_mean_auc;0.512695;Cuatro validation folds N total 1034;2025;codexway/outputs/metrics/rolling_model_comparison.csv;Media reconstruida
rolling;stable_mean_ap;0.203179;Cuatro validation folds N total 1034;2025;codexway/outputs/metrics/rolling_model_comparison.csv;Media reconstruida
rolling;stable_mean_lift10;1.2137132669864192;Cuatro validation folds N total 1034;2025;codexway/outputs/metrics/t1_model_metrics.json;Mediana 1.159051
rolling;stable_lift10_sd;0.462668;Cuatro validation folds;2025;codexway/outputs/metrics/rolling_model_comparison.csv;Reconstruido
rolling;stable_folds_lift_gt1;2;Cuatro validation folds;2025;codexway/outputs/metrics/t1_model_metrics.json;Magnitud variable
rolling;catboost_mean_ap;0.244760;Cuatro validation folds N total 1034;2025;codexway/outputs/metrics/rolling_model_comparison.csv;Media reconstruida
rolling;catboost_ap_wins_vs_logistic;2;Cuatro folds;2025;codexway/outputs/metrics/rolling_model_comparison.csv;Gate requería al menos 3
rolling;catboost_brier_degradation_vs_logistic;0.013765;Cuatro folds;2025;codexway/outputs/metrics/rolling_model_comparison.csv;Media reconstruida y supera tolerancia 0.005
model;final_name;stable_segment_logistic;T1;Final;codexway/outputs/metrics/t1_model_metrics.json;Logistic Regression
model;logistic_C;1.0;Modelo final;Final;codexway/config/base.yaml;Regularización L2 default
model;max_iter;2000;Modelo final;Final;codexway/config/base.yaml;Sklearn
model;feature_count_raw;1;Modelo final;Final;codexway/outputs/tables/feature_importance.csv;Interacción binaria
model;feature_count_encoded;1;Modelo final;Final;codexway/outputs/models/t1_model_bundle.joblib;Reconstruido por inspección de bundle
model;broad_raw_feature_count;25;Challenger logistic amplio;Final benchmark;codexway/src/spot2_codexway/features.py;14 lead y 11 inquiry
