scope;feature;tipo;transformacion;disponible_en_T1;importancia_o_coeficiente;direccion;distribucion;significado;riesgo_leakage;riesgo_causal;source_path
FINAL;industrial_small_or_paid_interaction;Derivada binaria;Industrial AND (company_size small OR source paid) luego StandardScaler;Si;0.12042669978141404;Positiva;Mature 514/4898 con 155 positivos y tasa 0.301556. Holdout 187/1711 con 67 y tasa 0.358289;Bolsillo estable promovido;Bajo si raw disponible antes de T1;No implica causalidad de sector tamaño o paid;codexway/outputs/tables/feature_importance.csv|codexway/src/spot2_codexway/features.py
RAW_PRECURSOR;search_sector;Categórica raw;One-hot en benchmark y condición Industrial en final;Si;NO LOCALIZADO EN LOS ARTEFACTOS;No aplica por separado;Mature Industrial 1220 tasa .243443, Land 764 .210732, Office 1417 .182075, Retail 1497 .190381;Sector buscado;Bajo en T1;Segmento no es efecto causal;codexway/config/feature_policy.yaml|codexway/src/spot2_codexway/features.py|codexway/outputs/tables/target_rate_by_segment.csv
RAW_PRECURSOR;company_size;Categórica raw;One-hot en benchmark y condición small en final;Si;NO LOCALIZADO EN LOS ARTEFACTOS;No aplica por separado;NO LOCALIZADO EN LOS ARTEFACTOS;Tamaño de empresa;Bajo en T1;Puede ser proxy de madurez y capacidad;codexway/config/feature_policy.yaml|codexway/src/spot2_codexway/features.py
RAW_PRECURSOR;source;Categórica raw;One-hot en benchmark y condición paid en final;Si;NO LOCALIZADO EN LOS ARTEFACTOS;No aplica por separado;Mature email 478 tasa .202929, event 252 .194444, organic 1437 .201809, paid 1221 .211302, referral 994 .192153, social 516 .224806;Fuente de adquisición;Policy feedback de campañas;No medir efecto causal sin experimento;codexway/config/feature_policy.yaml|codexway/src/spot2_codexway/features.py|codexway/outputs/tables/target_rate_by_segment.csv
CHALLENGER_ONLY;user_type;Categórica raw;Imputación most frequent más one-hot;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Mature broker 1763 tasa .200794, developer 242 .214876, investor 977 .192426, tenant_direct 1916 .212422;Tipo de usuario;Bajo si capturado antes de T1;Proxy no causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py|codexway/outputs/tables/target_rate_by_segment.csv
CHALLENGER_ONLY;industry;Categórica raw;Imputación most frequent más one-hot;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Industria del lead;Bajo si capturado antes de T1;Asociación sectorial no causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;search_modality;Categórica raw;Imputación most frequent más one-hot;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Mature both 990 tasa .217172, rent 2443 .198526, sale 1465 .205461;Rent sale o both;Bajo;Preferencia no efecto causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py|codexway/outputs/tables/target_rate_by_segment.csv
CHALLENGER_ONLY;preferred_state;Categórica raw;Imputación most frequent más one-hot;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Estado preferido;Bajo;Geografía correlaciona oferta y demanda;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;preferred_municipality;Categórica raw;Imputación most frequent más one-hot;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Municipio preferido;Alta cardinalidad y drift;No causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;preferred_corridor;Categórica raw;Imputación most frequent más one-hot;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Corredor preferido;Alta cardinalidad y drift;No causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
