Modelo;Features;Split;N;Prevalencia;ROC_AUC;PR_AUC;Brier;LogLoss;Lift_5;Lift_10;Lift_20;Calibracion;Estabilidad_temporal;Seleccionado;Autoridad;Comparable_con_final;Fuente;Notas
Base rate;Constante prevalencia;T1 holdout temporal;1711;0.212156634;0.500000000;0.212156634;0.167245515;0.517104238;1.000000000;1.000000000;1.000000000;Constante;No aplica;No;codexway;Si;codexway/outputs/metrics/t1_model_metrics.json;Baseline canónico
Business rule;Regla manual T1;T1 holdout temporal;1711;0.212156634;0.515686948;0.216486747;0.250075979;0.898215240;0.946789035;0.986262243;1.035952308;No calibrada;No localizada;No;codexway;Si;codexway/outputs/metrics/t1_model_metrics.json;Mala calidad probabilística
Logistic lead-only;14 raw de lead;T1 holdout temporal;1711;0.212156634;0.482326638;0.209835559;0.173312488;0.538005548;0.876929976;0.931738100;0.893228602;Pipeline sklearn;No localizada;No;codexway;Si;codexway/outputs/metrics/t1_model_metrics.json;Challenger T1
Logistic amplia;25 raw y 105 encoded;T1 holdout temporal;1711;0.212156634;0.488050862;0.215649611;0.174440664;0.541506897;1.096162470;0.849525915;0.920712559;Pipeline sklearn;Rolling Lift medio 0.846428 SD 0.523885;No;codexway;Si;codexway/outputs/metrics/t1_model_metrics.json|codexway/outputs/metrics/rolling_model_comparison.csv;Incluye asked_visit
Logistic sin asked_visit;24 raw;T1 holdout temporal;1711;0.212156634;0.485177510;0.215158569;0.174282510;0.541190308;0.986546223;0.986546223;0.920712559;Pipeline sklearn;No localizada;No;codexway;Si;codexway/outputs/metrics/t1_model_metrics.json;Ablation asked_visit
CatBoost canónico;25 raw;T1 holdout temporal;1711;0.212156634;0.492212726;0.208590874;0.242269429;0.677682141;0.651866831;0.826371217;0.931214736;Sin calibración posterior localizada;Rolling AP win 2 de 4 y Brier +0.013765 vs logistic;No;codexway;Si;codexway/outputs/metrics/t1_model_metrics.json|codexway/outputs/metrics/rolling_model_comparison.csv;500 iter depth 6 lr .04
Stable logistic raw;industrial_small_or_paid_interaction;T1 holdout temporal;1711;0.212156634;0.547776116;0.239128681;0.165500783;0.512146491;1.688793624;1.688793624;1.337083687;Sin Platt;Rolling Lift medio 1.213713 SD 0.462668;Ganador pre-calibración;codexway;Si;codexway/outputs/metrics/t1_model_metrics.json;Raw ligeramente mejor probabilísticamente
Stable logistic + Platt;industrial_small_or_paid_interaction;T1 holdout temporal;1711;0.212156634;0.547776116;0.239128681;0.165770898;0.512873892;1.688793624;1.688793624;1.337083687;Platt fit en validation;Rolling Lift medio 1.213713 SD 0.462668 y 2 de 4 folds sobre 1;Si FINAL;codexway;Si;codexway/outputs/metrics/t1_model_metrics.json;Campeón final
Stable logistic rolling;industrial_small_or_paid_interaction;T1 rolling CV agregado;1034;Variable por fold;0.512695;0.203179;0.157108;0.493746;NO LOCALIZADO EN LOS ARTEFACTOS;1.213713;NO LOCALIZADO EN LOS ARTEFACTOS;Sin Platt en folds;Mediana 1.159051 SD 0.462668 y 2 de 4 sobre 1;Promovida;codexway;No;codexway/outputs/metrics/rolling_model_comparison.csv;Medias reconstruidas de cuatro folds
Logistic amplia rolling;25 raw;T1 rolling CV agregado;1034;Variable por fold;0.498592;0.217593;0.166723;0.524916;NO LOCALIZADO EN LOS ARTEFACTOS;0.846428;NO LOCALIZADO EN LOS ARTEFACTOS;Pipeline sklearn;Mediana 0.700550 SD 0.523885;No;codexway;No;codexway/outputs/metrics/rolling_model_comparison.csv;Medias reconstruidas
CatBoost rolling;25 raw;T1 rolling CV agregado;1034;Variable por fold;0.522795;0.244760;0.180488;0.547954;NO LOCALIZADO EN LOS ARTEFACTOS;1.186308;NO LOCALIZADO EN LOS ARTEFACTOS;No localizada;Mediana 1.214779 SD 0.286332 y AP win 2 de 4;No;codexway;No;codexway/outputs/metrics/rolling_model_comparison.csv;Medias reconstruidas
T0 logistic 30d;Lead features;T0 test sensibilidad;1371;0.538293217;0.466505692;0.522793372;0.296258102;0.794946032;0.969247084;1.023094144;0.925484109;Pipeline sklearn;No localizada;No;codexway;No;codexway/outputs/metrics/t0_t2_sensitivity_metrics.json;Otro target y momento
T2 logistic trajectory;Lead inquiry e historia previa;T2 test sensibilidad;5249;0.199276053;0.505721125;0.206862171;0.160493345;0.502533838;1.278391700;1.137450605;0.998853683;Pipeline sklearn;Entity overlap train-test 0;No;codexway;No;codexway/outputs/metrics/t0_t2_sensitivity_metrics.json;Otro grano y momento
Assessment base rate;Constante;Development macro clean-room;NO LOCALIZADO EN LOS ARTEFACTOS;0.208333;0.500000;0.208333;0.165002;0.511962;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Constante;Development;No;AssessmentSol1;No;AssessmentSol1/models/lead_quality/metrics/development_macro_metrics.csv;Complementario
Assessment business rule;Regla manual;Development macro clean-room;NO LOCALIZADO EN LOS ARTEFACTOS;0.208333;0.500085;0.210255;0.171588;0.527642;1.030671;0.938071;0.995431;No;Development;No;AssessmentSol1;No;AssessmentSol1/models/lead_quality/metrics/development_macro_metrics.csv;Complementario
Assessment Logistic A;Lead only;Development macro clean-room;NO LOCALIZADO EN LOS ARTEFACTOS;0.208333;0.503917;0.217206;0.169227;0.525739;0.983491;0.993168;1.043200;No;Development;No;AssessmentSol1;No;AssessmentSol1/models/lead_quality/metrics/development_macro_metrics.csv;Complementario
